steming_data,Score,Sentiment
game moderator yapping ngeban orang alas,0,Negatif
tolong baik robux pending gue tungguin robux masuk jir,-2,Negatif
fish paham game haram,0,Negatif
roblox blunder gara gara ngedeteksi aplikasi tiga gue pakai auto clicker executor delta ya,-2,Negatif
game burik burik map banyak bug burik burik,-4,Negatif
talon bau,-2,Negatif
koneksi error lancar buka apk,-1,Negatif
sih ngeleg mulu roblox ya main game loh main roblox loading game gua pakai wifi tolong benerin bug ya ah taii stres tolol kagak login akun fix kontoolllllllll,-1,Negatif
roblox game baik,2,Positif
wuy roblox gue masuk the forge,-1,Negatif
roblox ban main keliru muak keliru nama roblox pliss unban salah orang minat main salah minat bintang janji langgar atur roblox langgar ya kali mikir terima,0,Negatif
keren main fish afk jam,1,Positif
map main,0,Negatif
i just updated but there is no difference at all the security thread detected message still appears,0,Negatif
tolol roblox anjing reconnect mulu tolol capek gue anjing,-5,Negatif
my roblox is fors close help roblox,0,Negatif
bruh no,0,Negatif
im still years old why cant i chat the game i dont like this game anymore because i cant talk my friends i dont have an id card and i really need a game that allows me chat the game is very bad i want chat with my friend please roblox my account name is afzhokiwhy did my account birthday change i was born how did change and why i have verify that im already an adult,5,Positif
i hate you roblox why you dont gift me selfie why i need my parents i just need too play roblox,-2,Negatif
bug report,-1,Negatif
roblox tolong hapus orang suka troll main kali troll mulu kesel main troll,-1,Negatif
masuk beli pakai uang sungguh mohon dev waras dunia kembali uang lo dengar ucap bintang dev,-1,Negatif
pls komen hapus roblok ferivikasinya plsss,-2,Negatif
roblox game bagus maaf ya katai game roblox maaf,4,Positif
golek lapuk diturunin,-2,Negatif
bug rugi guna,-1,Negatif
oh hellnah bro game juta umat bocil,3,Positif
dont play this gamerobloxs moderators are banning people for no reason at all,0,Negatif
bagus,1,Positif
bagus gamenya keren,2,Positif
bagus cocok ngisi luang,1,Positif
server error mulu sih login kayak biar mulu,-3,Negatif
gegara roblox hilang kai,-1,Negatif
anak bikin chatngurangin keseruankalo ganti tahun pakai wajahkalo umur babyface gmnke detectnya umur kecewa banget update roblox iniuntuk game afk fish pakai redfingerini rugi playerkalo playernya tau tinggal minggu pas nguras doangtolonglah kembali fitur chat anak pakai redfinger,-1,Negatif
maaf,0,Negatif
bagus main game,2,Positif
gem ya burik kotak kotak aplikasi update sih game bab ngelek kotak kotak burik mending gua main minecraft ngelek bayar halang roblox david bazuki suka ngock game burik burik burik burik burik burik burik burik burik burik burik burik burik burik burik burik burik burik burik burik burik burik burik burik burik burik burik burik burik burik burik burik burik yoi babi game ki rusek ok pas login adek koneksie dek ack pucak,-36,Negatif
game roblox melihan pesan sistem buka chat periksa usia atur info akun kangen roblox batas atur usia kangen roblox zaman roblox zaman era covid,-2,Negatif
roblox you suck stupid,0,Negatif
good,1,Positif
seru sih bug,0,Negatif
game ya bagus masuk,2,Positif
bagus sih suka roblox upgrade tau roblox pengin bikin baik suka upgrade memori penuh,3,Positif
ngelag su,-1,Negatif
enak,1,Positif
atmin ya kikir layer delta atmin kikir sih talon talon kikirr,3,Positif
seru banget roblok kirim robux,3,Positif
roblox pakai voice chat roblox lag musik ya suara suara map,2,Positif
ya loading disconnect jaring bagus,2,Positif
masuk akun gua,-2,Negatif
bagus dev lupa bikin versi diupdate main biar pakai cloud gaming biar rusak kayak game belah isi bot oh ya tolong langsung ban user redfinger guna script bikin gamenya rusak berantas jadi kayak growtopia acuh gede trimakasi kerja keras dev user sc kayak ban semua dev kelar ku kasih star,-1,Negatif
anomali maling hu hu hu,0,Negatif
