steming_data,Score,Sentiment
tolong baik robux pending gue tungguin robux masuk jir,-3,Negatif
fish paham game haram,1,Positif
seru banget wok,1,Positif
roblox blunder gara gara ngedeteksi aplikasi tiga gue pakai auto clicker executor delta ya,-2,Negatif
game burik burik map banyak bug burik burik,1,Positif
talon bau,-1,Negatif
koneksi error lancar buka apk,-1,Negatif
sih ngeleg mulu roblox ya main game loh main roblox loading game gua pakai wifi tolong benerin bug ya ah taii stres tolol kagak login akun fix kontoolllllllll,0,Negatif
roblox game baik,1,Positif
wuy roblox gue masuk the forge,-1,Negatif
roblox ban main keliru muak keliru nama roblox pliss unban salah orang minat main salah minat bintang janji langgar atur roblox langgar ya kali mikir terima,1,Positif
keren main fish afk jam,0,Negatif
map main,0,Negatif
i just updated but there is no difference at all the security thread detected message still appears,0,Negatif
tolol roblox anjing reconnect mulu tolol capek gue anjing,-4,Negatif
my roblox is fors close help roblox,0,Negatif
bruh no,0,Negatif
im still years old why cant i chat the game i dont like this game anymore because i cant talk my friends i dont have an id card and i really need a game that allows me chat the game is very bad i want chat with my friend please roblox my account name is afzhokiwhy did my account birthday change i was born how did change and why i have verify that im already an adult,5,Positif
i hate you roblox why you dont gift me selfie why i need my parents i just need too play roblox,-2,Negatif
bug report,0,Negatif
roblox tolong hapus orang suka troll main kali troll mulu kesel main troll,-2,Negatif
masuk beli pakai uang sungguh mohon dev waras dunia kembali uang lo dengar ucap bintang dev,-1,Negatif
pls komen hapus roblok ferivikasinya plsss,-2,Negatif
roblox game bagus maaf ya katai game roblox maaf,3,Positif
golek lapuk diturunin,-2,Negatif
bug rugi guna,0,Negatif
oh hellnah bro game juta umat bocil,3,Positif
dont play this gamerobloxs moderators are banning people for no reason at all,0,Negatif
bagus,0,Negatif
bagus gamenya keren,0,Negatif
bagus cocok ngisi luang,0,Negatif
server error mulu sih login kayak biar mulu,-2,Negatif
gegara roblox hilang kai,-1,Negatif
anak bikin chatngurangin keseruankalo ganti tahun pakai wajahkalo umur babyface gmnke detectnya umur kecewa banget update roblox iniuntuk game afk fish pakai redfingerini rugi playerkalo playernya tau tinggal minggu pas nguras doangtolonglah kembali fitur chat anak pakai redfinger,0,Negatif
maaf,0,Negatif
bagus main game,1,Positif
lets gooooooo,0,Negatif
